trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.02, 'e': 0.7117703227626097}",30,0,-54.20095528043416,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.02, 'e': 0.697676326071031}",25,0,-58.39050179445255,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.6838614092123558}",25,0,-89.94344776396943,"{0: 17, 1: 2, 2: 2, 3: 4, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.6703200460356393}",25,0,-3.7998943249549972,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.02, 'e': 0.6570468198150567}",30,0,-67.78283594898922,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.6440364210831414}",25,2,-89.70830332494849,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 1}",1
23,False,"{'a': 0.02, 'e': 0.631283645506926}",30,0,-138.70712404793193,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,14,-17.82910040582883,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.02, 'e': 0.6065306597126334}",20,0,-100.16985805246654,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.02, 'e': 0.5945205479701944}",25,0,-58.873238751834116,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.5827482523739896}",20,0,-51.18920882895958,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.02, 'e': 0.5712090638488149}",25,7,15.101034468903338,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.02, 'e': 0.559898366565402}",30,19,1.4576132533692905,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.02, 'e': 0.5488116360940265}",25,15,13.579840933281126,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.02, 'e': 0.5379444375946745}",20,12,-34.895709720075715,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.02, 'e': 0.5272924240430485}",20,0,-14.820482029189915,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.02, 'e': 0.5168513344916992}",30,0,-66.97449119763006,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.02, 'e': 0.5066169923655895}",20,1,-137.39734774459714,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 3}",1
35,False,"{'a': 0.02, 'e': 0.49658530379140947}",30,12,-42.93175271002243,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.02, 'e': 0.4867522559599717}",20,9,-21.288539756043406,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.02, 'e': 0.4771139155210344}",20,0,-0.578724218147142,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.02, 'e': 0.46766642700990924}",25,0,-18.53968809227396,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.02, 'e': 0.4584060113052235}",25,1,-74.2401188945101,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
40,False,"{'a': 0.02, 'e': 0.44932896411722156}",20,0,-15.116754072284962,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.02, 'e': 0.44043165450599925}",20,15,-2.0446902816393795,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.02, 'e': 0.43171052342907973}",20,10,-7.093742928363415,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.02, 'e': 0.4231620823177488}",20,10,18.44982726607314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.02, 'e': 0.4147829116815814}",20,0,-8.030311258018989,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.02, 'e': 0.4065696597405991}",25,20,7.879837366868966,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.02, 'e': 0.39851904108451414}",30,0,-100.61157251539997,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
47,False,"{'a': 0.02, 'e': 0.3906278353585211}",30,0,-40.60013927595055,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.02, 'e': 0.38289288597511206}",25,8,-16.593135699980884,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.02, 'e': 0.37531109885139957}",30,10,20.415979283724923,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.36787944117144233}",25,9,0.3233246429103209,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.3605949401730783}",25,7,3.529452061917577,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.02, 'e': 0.35345468195878016}",20,16,7.617621170947314,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.3464558103300574}",25,9,-9.520899386549619,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,0,-31.894358700806652,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.02, 'e': 0.33287108369807955}",20,9,6.557689008623181,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.02, 'e': 0.32627979462303947}",35,18,18.47637035504193,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,10,9.117522665616544,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,2,-30.719003512016275,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.02, 'e': 0.30727873860113125}",30,8,-17.502593898293277,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.02, 'e': 0.30119421191220214}",20,3,21.9564188582873,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.2952301669240142}",20,0,11.641922406286167,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.02, 'e': 0.2893842179390506}",25,0,-58.812951518624324,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,8,24.290876353976593,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.27803730045319414}",25,7,-4.505662582939088,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.02, 'e': 0.2725317930340126}",25,0,2.3015222805368185,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.02, 'e': 0.26713530196585034}",25,5,-81.40985106959435,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.02, 'e': 0.261845668580326}",30,18,15.882842985646207,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.2566607769535559}",20,11,18.542841082401637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.25157855305975646}",30,8,-3.7047273950753223,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.02, 'e': 0.24659696394160643}",20,0,-32.568442456996046,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,0,-9.084527198205398,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.02, 'e': 0.23692775868212176}",20,0,-26.51668141610557,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.02, 'e': 0.23223627472975883}",30,18,-15.995555906077712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.02, 'e': 0.22763768838381274}",35,3,-31.300609986886123,"{0: 27, 1: 2, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.02, 'e': 0.22313016014842982}",30,0,-38.02064992592349,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
76,False,"{'a': 0.02, 'e': 0.21871188695221475}",25,14,19.259234967936138,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.21438110142697794}",25,20,7.2613176279504135,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.21013607120076472}",30,0,0.17598954615578333,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.02, 'e': 0.20597509820488344}",20,12,0.181339292172489,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': 0.20189651799465538}",20,5,5.329508229009185,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': 0.19789869908361465}",25,0,-30.050862575648196,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
82,False,"{'a': 0.02, 'e': 0.19398004229089189}",20,2,22.031701379168226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,4,-1.256883132905949,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.18637397603940997}",20,13,1.6537747447957463,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18268352405273466}",20,4,16.99988637040812,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.17906614791149322}",20,0,32.58046813696449,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.02, 'e': 0.17552040061699686}",30,16,-40.02609280272903,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.02, 'e': 0.17204486382305054}",20,11,-34.786722408622275,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
89,False,"{'a': 0.02, 'e': 0.1686381472685955}",20,6,19.40406141643062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.16529888822158653}",25,14,21.721252760624402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.02, 'e': 0.16202575093388075}",25,15,17.80481491115038,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': 0.15881742610692068}",20,12,-2.922489961140034,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.02, 'e': 0.1556726303679973}",20,0,14.756905960250394,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.02, 'e': 0.15259010575688386}",30,16,-22.476546772716134,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.02, 'e': 0.14956861922263504}",25,7,18.94042632022333,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.14660696213035015}",30,18,-30.172259387063946,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.02, 'e': 0.14370394977770293}",25,20,9.486250705933243,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.140858420921045}",20,8,15.252621538522225,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': 0.13806923731089282}",30,13,-9.539061956607437,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.02, 'e': 0.1353352832366127}",20,6,8.410466245805665,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.02, 'e': 0.13265546508012172}",30,19,21.306194344061645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.1300287108784259}",20,8,19.264933762841235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.12745396989482075}",25,12,21.08995751092678,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.02, 'e': 0.12493021219858241}",20,10,-32.76588099727784,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.02, 'e': 0.1224564282529819}",20,11,-5.91618103548558,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.12003162851145673}",25,6,23.863606195086884,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.11765484302177918}",30,17,10.540709737425573,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11532512103806251}",35,28,13.4168791478549,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': 0.11304153064044985}",30,19,22.91843161044555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.11080315836233387}",30,12,31.2053083795331,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.02, 'e': 0.10860910882495796}",20,7,26.387152658779904,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.1064585043792528}",25,5,23.582637565433252,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.104350484754765}",20,0,5.616242108481992,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
114,False,"{'a': 0.02, 'e': 0.10228420671553744}",25,0,18.672619053714644,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.02, 'e': 0.1002588437228037}",25,0,32.81012313490019,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.02, 'e': 0.09827358560436154}",30,21,15.319902927373787,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09632763823049303}",25,11,23.148027456168425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': 0.09442022319630235}",30,7,-48.897749188610746,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
119,False,"{'a': 0.02, 'e': 0.09255057751034329}",20,0,1.7840224165862746,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
120,False,"{'a': 0.02, 'e': 0.09071795328941251}",25,14,4.392251788880687,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.08892161745938634}",25,10,-20.41568543560105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.02, 'e': 0.0871608514619813}",20,4,22.75615772807897,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.08543495096732123}",30,9,-22.126067486143054,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.02, 'e': 0.08374322559219596}",20,0,18.052395406020334,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.02, 'e': 0.0820849986238988}",20,0,28.02304416205275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.02, 'e': 0.08045960674953244}",25,12,12.135481662244345,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': 0.07886639979067495}",20,16,7.271296746198061,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07730474044329974}",20,4,-17.595820485606083,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.02, 'e': 0.07577400402284548}",30,18,12.81475489115846,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07427357821433388}",35,22,20.516398484744794,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07280286282743559}",25,0,-13.867289173610438,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
